id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value
2822657709,13,1,1,1,40,e3k8yw2rbmphyfu5htn4yi5jk,1,3.6,50.7,2025-06-14T23:08:01.428Z,2025-06-14T23:08:03Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5771212451,124,,5771212457,141,73.9,5771212465,237,,5771212455,140,13.3,5771212453,56,Back,5771212459,212,18.8,5771212461,213,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657725,14,1,1,1,42,e3k8yw2rbmphyfu5htn4yi5jk,1,13.3,73.9,2025-06-14T23:08:02.955Z,2025-06-14T23:08:06Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5771212559,212,15.7,5771212561,213,1.26,5771212557,141,95.9,5771212555,140,17.9,5771212553,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657731,15,1,1,1,45,e3k8yw2rbmphyfu5htn4yi5jk,0,16.4,95.3,2025-06-14T23:08:06.107Z,2025-06-14T23:08:07Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5771212587,141,77.9,5771212581,155,,5771212583,56,Back,5771212591,213,5.54,5771212585,140,28.7,5771212589,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657737,19,8,1,1,48,2n3wgr89m7jl8tmioemit2pgq,1,63.2,26.4,2025-06-14T23:08:09.889Z,2025-06-15T16:21:13Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5771212647,15,,5771212617,56,Center,5772352781,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657759,20,1,1,1,51,2n3wgr89m7jl8tmioemit2pgq,0,74.0,29.8,2025-06-14T23:08:12.073Z,2025-06-15T01:14:06Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5771212753,212,14.5,5771212747,56,Center,5771212755,213,6.25,5771212751,141,29.1,5771212745,155,,5771212749,140,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657775,16,12,1,1,51,e3k8yw2rbmphyfu5htn4yi5jk,1,12.4,73.2,2025-06-14T23:08:12.771Z,2025-06-14T23:08:15Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5771212831,56,Back,5771212837,212,27.7,5771212835,141,59.1,5771212833,140,37.1,5771212839,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657789,17,1,1,1,54,e3k8yw2rbmphyfu5htn4yi5jk,1,37.1,59.1,2025-06-14T23:08:15.628Z,2025-06-15T01:14:03Z,21y2ogvprtdai47j36w9m22cq,M. Myers,,,5771212909,212,6.7,5771212903,56,Back,5771212905,140,39.1,5771212911,213,5.03,5771212907,141,49.7,5771212901,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657805,18,1,1,1,57,e3k8yw2rbmphyfu5htn4yi5jk,1,31.8,51.2,2025-06-14T23:08:18.228Z,2025-06-14T23:08:20Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5771212979,212,14.5,5771212973,56,Back,5771212977,141,39.2,5771212981,213,3.74,5771212975,140,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657817,19,1,1,1,59,e3k8yw2rbmphyfu5htn4yi5jk,1,20.5,39.2,2025-06-14T23:08:20.092Z,2025-06-14T23:08:21Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5771213019,56,Back,5771213023,141,3.4,5771213025,212,25.1,5771213027,213,4.95,5771213021,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657835,20,1,1,2,0,e3k8yw2rbmphyfu5htn4yi5jk,1,26.2,3.4,2025-06-14T23:08:21.211Z,2025-06-14T23:08:23Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5771213129,213,0.35,5771213125,141,11.6,5771213123,140,40.8,5771213127,212,16.3,5771213121,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
